Sweet Potato and Chickpea Curry,Japanese Curry,Curry Lentil Soup,Golden Barley Soup,Mango Curry,Veg Stir Fry,Shepherd's Pie,Baked Eggplant,Pie & Mash,Bangers & Mash,Kofta Wraps,Baked Sweet Potato w/ Chickpea Filling,Sweet Potato Peanut Stew,Baked Potato w/ Jackfruit & Black Beans,Moroccan Butternut & Lentils,Buddha Bowl,Chana Dhal,Eggplant & Bean Casserole,Lemon & Garlic Pasta w/ White Beans,Lentil Bolognese,Pasta w/ Roast Veg & Chickpeas,Roast Pumpkin Pasta,Roast Pumpkin & Pearl Barley Risotto,Sweet Potato & Peanut Soup,Tofu Scramble,Veg Curry & Tempeh,Peanut Soup,Roast Veg Salad w/ Couscous
sweet potato,potato,red lentils,pearl barley,mango,red cabbage,potato,eggplant,pie,sausages,kofta kebabs,sweet potato,sweet potato,potato,green lentils,TBC,chana dal beans,eggplant,pasta,pasta,pasta,pasta,pearl barley,TBC,tofu,potato,peanut butter,sweet potato
chickpeas,carrot,tinned tomatoes,red lentils,tofu,carrot,green lentils,chickpeas,potato,potato,tortilla wraps,chickpeas,carrot,black beans,butternut squash,,tomato,chickpeas,white beans,green lentils,chickpeas,butternut squash,butternut squash,,carrot,carrot,spinach,butternut squash
carrot,onions,coconut milk,carrot,green beans,eggplant,carrots,spianch,broccoli,broccoli,spinach,hummus,vegetable stock,jackfruit,chickpeas,,onion,white beans,cashews,quinoa,eggplant,white beans,vegetable stock,,red pepper,peas,vegetable stock,carrot
spinach,curry cubes,vegetable stock,spinach,zucchini,zucchini,peas,tinned tomatoes,peas,peas,carrot,cherry tomatoes,red onion,onion,tinned tomatoes,,garlic,tinned tomatoes,cherry tomatoes,carrot,zucchini,cashews,onion,,spinach,tempeh,red onion,eggplant
tinned tomatoes,rice,spianch,vegetable stock,yellow pepper,red pepper,vegetable stock,onion,carrot,carrot,sweetcorn,red onion,garlic,paprika,vegetable stock,,ginger,tomato paste,spinach,spinach,carrot,onion,rosemary,,tinned tomatoes,coconut milk,ginger,zucchini
coconut milk,,onion,onion,coconut milk,cashews,onion,garlic,gravy,gravy,mayo,garlic,spinach,bbq sauce,onion,,curry powder,tahini,garlic,tinned tomatoes,red pepper,garlic,thyme,,turneric,curry powder,tomato paste,red pepper
onion,,garlic,garlic,vegetable stock,stir fry sauce,garlic,italian herbs,,,balsamic glaze,lemon juice,ginger,spinach,garlic,,garam masala,paprika,lemon juice,red pepper,,nutritional yeast,pine nuts,,paprika,rice,sriracha sauce,couscous
garlic,,ginger,ginger,onion,,tomato paste,quinoa,,,,cumin,groung cloves,,ginger,,turmeric,,nutritional yeast,onion,,pine nuts,,,,,rice,
ginger,,tomato paste,tomato paste,garlic,,thyme,,,,,cinnamon,cumin,,turmeric,,,,,garlic,,ground cloves,,,,,,
cumin,,curry powder,turmeric,ginger,,,,,,,paprika,maple syrup,,cumin,,,,,balsamic vinegar,,,,,,,,
turmeric,,,cumin,red curry paste,,,,,,,,peanut butter,,cinnamon,,,,,,,,,,,,,
rice,,,,soy sauce,,,,,,,,rice,,,,,,,,,,,,,,,
,,,,rice,,,,,,,,,,,,,,,,,,,,,,,
